Site,Date Sampled,Date Number,Total,Temp
Trap James 1,6/8/2015,158,3,74
MR Bridge,6/13/2015,163,36,71
trap 3,6/13/2015,163,22,71
BCRA Dip Net,6/15/2015,165,17,71
Clay Co. Park,6/18/2015,168,109,66
James Trap 1,6/18/2015,168,45,66
AL Bend Pond,6/29/2015,179,24,73
Clay Co. Park,7/6/2015,186,10,70
Clay Co. Park,7/9/2015,189,57,71
Myron Grove,7/9/2015,189,108,71
Markept. IA,7/12/2015,192,6,82
Clay Co. Park,7/23/2015,203,8,76
Myon Grove ,7/23/2015,203,19,76
Myron Grove,7/23/2015,203,44,76
Mesocosms,7/27/2015,207,5,80
Clay Co. Park,7/30/2015,210,18,74
Verdigre 1,8/3/2015,214,4,68
Mesocosms,8/6/2015,217,9,76
verdigre,8/13/2015,224,7,78
Verm/ Centerville,8/13/2015,224,33,78
