Order,Family,Genus,Species,Total,Infected,Wolbachia
Coleoptera,Hydrophilidae,Berosus,sp.,26,12,1
Coleoptera,Hydrophilidae,Hydrophilus,acuminatus,32,0,0
Diptera,Culicidae,Aedes,albopictus,54,0,0
Diptera,Culicidae,Aedes,niveus,19,15,1
Diptera,Culicidae,Aedes,perplexus,11,5,1
Diptera,Culicidae,Aedes,pseudalbopictus,6,0,0
Diptera,Culicidae,Anopheles,dirus,1,0,0
Diptera,Culicidae,Anopheles,maculatus,31,0,0
Diptera,Culicidae,Anopheles,sinensis,11,0,0
Diptera,Culicidae,Anopheles,vagus,12,0,0
Diptera,Culicidae,Culex,bitaeniorhynchus,16,11,1
Diptera,Culicidae,Culex,fuscocephala,125,101,1
Diptera,Culicidae,Culex,gelidus,101,75,1
Diptera,Culicidae,Culex,quinquefasciatus,174,69,1
Diptera,Culicidae,Culex,tritaeniorhynchus,12,0,0
Diptera,Culicidae,Culex,vishnui,8,0,0
Diptera,Culicidae,Mimomyia,chamberlaini,28,0,0
Diptera,Culicidae,Mimomyia,hybrida,156,133,1
Diptera,Culicidae,Mimomyia,luzonensis,29,0,0
Diptera,Culicidae,Tripteroides,aranoides,508,508,1
Diptera,Culicidae,Uranotaenia,lateralis,116,77,1
Diptera,Culicidae,Uranotaenia,patriciae,12,0,0
Hemiptera,Corixidae,Micronecta,quadristrigata,7,0,0
Hemiptera,Gerridae,Limnogonus,fossarum,2,0,0
Hemiptera,Gerridae,Limnogonus,nitidus,12,7,1
Hemiptera,Hydrometridae,Hydrometra,vittata,17,0,0
Hemiptera,Mesoveliidae,Mesovelia,sp.,21,0,0
Hemiptera,Notonectidae,Anisops,sardea,2,0,0
Odonata,Coenagrionidae,Agriocnemis,femina,2,0,0
Odonata,Coenagrionidae,Ischnura,aurora,21,19,1
Odonata,Coenagrionidae,Ischnura,senegalensis,22,0,0
Odonata,Coenagrionidae,Pseudoagrion,microcephalum,15,0,0
Odonata,Coenagrionidae,Pseudoagrion,pruinosum,22,0,0
Odonata,Libellulidae,Actsoma,panorpoides,56,9,1
Odonata,Libellulidae,Brachythemis,contaminata,16,0,0
Odonata,Libellulidae,Bradinopyga,geminata,252,220,1
Odonata,Libellulidae,Crocothemis,servilia,16,4,1
Odonata,Libellulidae,Diplacodes,nebulosa,74,56,1
Odonata,Libellulidae,Diplacodes,trivialis,10,0,0
Odonata,Libellulidae,Neurothemis,tullia,28,7,1
Odonata,Libellulidae,Orthetrum,sabina,9,0,0
Odonata,Libellulidae,Tholymis,tillarga,5,0,0
Odonata,Libellulidae,Trithemis,aurora,36,28,1
